dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
pima.csv,2,2,base,None,acc,0.6363636363636364,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,2,base,None,f1,0.6239279588336192,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,2,base,None,auc,0.5751851851851851,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,2,wagging,None,acc,0.7012987012987013,"[array([[41,  9],
       [14, 13]])]"
pima.csv,2,2,wagging,None,f1,0.6931707748034278,"[array([[41,  9],
       [14, 13]])]"
pima.csv,2,2,wagging,None,auc,0.6507407407407407,"[array([[41,  9],
       [14, 13]])]"
pima.csv,2,2,AdaBoost,None,acc,0.6883116883116883,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,2,AdaBoost,None,f1,0.6776525361431022,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,2,AdaBoost,None,auc,0.6322222222222222,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",acc,0.7272727272727273,"[array([[45,  5],
       [16, 11]])]"
pima.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",f1,0.7144867144867144,"[array([[49,  1],
       [18,  9]])]"
pima.csv,2,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 1.0]",auc,0.7218518518518519,"[array([[37, 13],
       [ 8, 19]])]"
pima.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.7662337662337663,"[array([[48,  2],
       [16, 11]])]"
pima.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.7034907016758196,"[array([[48,  2],
       [18,  9]])]"
pima.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.6481481481481481,"[array([[50,  0],
       [19,  8]])]"
pima.csv,3,2,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,2,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,2,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,2,wagging,None,acc,0.7402597402597403,"[array([[49,  1],
       [19,  8]])]"
pima.csv,3,2,wagging,None,f1,0.6951353731014748,"[array([[49,  1],
       [19,  8]])]"
pima.csv,3,2,wagging,None,auc,0.6381481481481481,"[array([[49,  1],
       [19,  8]])]"
pima.csv,3,2,AdaBoost,None,acc,0.7012987012987013,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,2,AdaBoost,None,f1,0.7045401695428826,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,2,AdaBoost,None,auc,0.6848148148148149,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",acc,0.7012987012987013,"[array([[45,  5],
       [18,  9]])]"
pima.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.652904989747095,"[array([[45,  5],
       [19,  8]])]"
pima.csv,3,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.7262962962962962,"[array([[43,  7],
       [11, 16]])]"
pima.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",acc,0.7142857142857143,"[array([[45,  5],
       [17, 10]])]"
pima.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",f1,0.6633366633366634,"[array([[46,  4],
       [19,  8]])]"
pima.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",auc,0.6251851851851852,"[array([[44,  6],
       [17, 10]])]"
pima.csv,4,2,base,None,acc,0.6493506493506493,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,2,base,None,f1,0.6507674144037779,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,2,base,None,auc,0.6192592592592592,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,2,wagging,None,acc,0.6883116883116883,"[array([[44,  6],
       [18,  9]])]"
pima.csv,4,2,wagging,None,f1,0.6604823747680889,"[array([[44,  6],
       [18,  9]])]"
pima.csv,4,2,wagging,None,auc,0.6066666666666667,"[array([[44,  6],
       [18,  9]])]"
pima.csv,4,2,AdaBoost,None,acc,0.6103896103896104,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,2,AdaBoost,None,f1,0.6067168125991655,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,2,AdaBoost,None,auc,0.5637037037037037,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 1.0]",acc,0.7142857142857143,"[array([[43,  7],
       [15, 12]])]"
pima.csv,4,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 1.0]",f1,0.6837602764208268,"[array([[43,  7],
       [16, 11]])]"
pima.csv,4,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 1.0]",auc,0.5807407407407407,"[array([[34, 16],
       [14, 13]])]"
pima.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.7532467532467533,"[array([[45,  5],
       [14, 13]])]"
pima.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.7112593828190158,"[array([[44,  6],
       [15, 12]])]"
pima.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.6551851851851851,"[array([[47,  3],
       [17, 10]])]"
pima.csv,5,2,base,None,acc,0.6233766233766234,"[array([[35, 15],
       [14, 13]])]"
pima.csv,5,2,base,None,f1,0.6248983339892431,"[array([[35, 15],
       [14, 13]])]"
pima.csv,5,2,base,None,auc,0.5907407407407407,"[array([[35, 15],
       [14, 13]])]"
pima.csv,5,2,wagging,None,acc,0.7532467532467533,"[array([[47,  3],
       [16, 11]])]"
pima.csv,5,2,wagging,None,f1,0.7283211069094945,"[array([[47,  3],
       [16, 11]])]"
pima.csv,5,2,wagging,None,auc,0.6737037037037037,"[array([[47,  3],
       [16, 11]])]"
pima.csv,5,2,AdaBoost,None,acc,0.5974025974025974,"[array([[33, 17],
       [14, 13]])]"
pima.csv,5,2,AdaBoost,None,f1,0.6017715328621461,"[array([[33, 17],
       [14, 13]])]"
pima.csv,5,2,AdaBoost,None,auc,0.5707407407407407,"[array([[33, 17],
       [14, 13]])]"
pima.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",acc,0.7142857142857143,"[array([[45,  5],
       [17, 10]])]"
pima.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.7107541581225791,"[array([[47,  3],
       [17, 10]])]"
pima.csv,5,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 2.0]",auc,0.6507407407407407,"[array([[41,  9],
       [14, 13]])]"
pima.csv,5,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",acc,0.7272727272727273,"[array([[46,  4],
       [17, 10]])]"
pima.csv,5,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",f1,0.7619210875024829,"[array([[47,  3],
       [14, 13]])]"
pima.csv,5,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",auc,0.6366666666666666,"[array([[47,  3],
       [18,  9]])]"
pima.csv,6,2,base,None,acc,0.7272727272727273,"[array([[40, 10],
       [11, 16]])]"
pima.csv,6,2,base,None,f1,0.7260499634869146,"[array([[40, 10],
       [11, 16]])]"
pima.csv,6,2,base,None,auc,0.6962962962962963,"[array([[40, 10],
       [11, 16]])]"
pima.csv,6,2,wagging,None,acc,0.7532467532467533,"[array([[46,  4],
       [15, 12]])]"
pima.csv,6,2,wagging,None,f1,0.7339118036792455,"[array([[46,  4],
       [15, 12]])]"
pima.csv,6,2,wagging,None,auc,0.6822222222222223,"[array([[46,  4],
       [15, 12]])]"
pima.csv,6,2,AdaBoost,None,acc,0.7142857142857143,"[array([[39, 11],
       [11, 16]])]"
pima.csv,6,2,AdaBoost,None,f1,0.7142857142857143,"[array([[39, 11],
       [11, 16]])]"
pima.csv,6,2,AdaBoost,None,auc,0.6862962962962964,"[array([[39, 11],
       [11, 16]])]"
pima.csv,6,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.7402597402597403,"[array([[47,  3],
       [17, 10]])]"
pima.csv,6,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",f1,0.7045148247978437,"[array([[42,  8],
       [14, 13]])]"
pima.csv,6,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.7092592592592593,"[array([[45,  5],
       [13, 14]])]"
pima.csv,6,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",acc,0.7142857142857143,"[array([[46,  4],
       [18,  9]])]"
pima.csv,6,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",f1,0.7736549165120593,"[array([[48,  2],
       [14, 13]])]"
pima.csv,6,2,Incremental_Mixed_Bagging,"[[-2.0, 2.0]]",auc,0.5896296296296296,"[array([[46,  4],
       [20,  7]])]"
pima.csv,7,2,base,None,acc,0.6493506493506493,"[array([[34, 16],
       [11, 16]])]"
pima.csv,7,2,base,None,f1,0.6549810581924765,"[array([[34, 16],
       [11, 16]])]"
pima.csv,7,2,base,None,auc,0.6362962962962962,"[array([[34, 16],
       [11, 16]])]"
pima.csv,7,2,wagging,None,acc,0.6753246753246753,"[array([[43,  7],
       [18,  9]])]"
pima.csv,7,2,wagging,None,f1,0.6498839522095337,"[array([[43,  7],
       [18,  9]])]"
pima.csv,7,2,wagging,None,auc,0.5966666666666666,"[array([[43,  7],
       [18,  9]])]"
pima.csv,7,2,AdaBoost,None,acc,0.6233766233766234,"[array([[31, 19],
       [10, 17]])]"
pima.csv,7,2,AdaBoost,None,f1,0.6316540602254888,"[array([[31, 19],
       [10, 17]])]"
pima.csv,7,2,AdaBoost,None,auc,0.6248148148148148,"[array([[31, 19],
       [10, 17]])]"
pima.csv,7,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 3.0]",acc,0.6753246753246753,"[array([[42,  8],
       [17, 10]])]"
pima.csv,7,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",f1,0.7348651348651349,"[array([[42,  8],
       [12, 15]])]"
pima.csv,7,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.7188888888888888,"[array([[33, 17],
       [ 6, 21]])]"
pima.csv,7,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.6883116883116883,"[array([[38, 12],
       [12, 15]])]"
pima.csv,7,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.7225501770956317,"[array([[45,  5],
       [15, 12]])]"
pima.csv,7,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",auc,0.6222222222222222,"[array([[40, 10],
       [15, 12]])]"
pima.csv,8,2,base,None,acc,0.6578947368421053,"[array([[35, 15],
       [11, 15]])]"
pima.csv,8,2,base,None,f1,0.6629855889724311,"[array([[35, 15],
       [11, 15]])]"
pima.csv,8,2,base,None,auc,0.6384615384615384,"[array([[35, 15],
       [11, 15]])]"
pima.csv,8,2,wagging,None,acc,0.6842105263157895,"[array([[45,  5],
       [19,  7]])]"
pima.csv,8,2,wagging,None,f1,0.6454293628808865,"[array([[45,  5],
       [19,  7]])]"
pima.csv,8,2,wagging,None,auc,0.5846153846153845,"[array([[45,  5],
       [19,  7]])]"
pima.csv,8,2,AdaBoost,None,acc,0.6447368421052632,"[array([[33, 17],
       [10, 16]])]"
pima.csv,8,2,AdaBoost,None,f1,0.6524416563552127,"[array([[33, 17],
       [10, 16]])]"
pima.csv,8,2,AdaBoost,None,auc,0.6376923076923077,"[array([[33, 17],
       [10, 16]])]"
pima.csv,8,2,Grouped_Mixed_Bagging,"[[0.0, 1.0, 0.0], 2.0]",acc,0.6710526315789473,"[array([[43,  7],
       [18,  8]])]"
pima.csv,8,2,Grouped_Mixed_Bagging,"[[0.0, 1.0, 0.0], 2.0]",f1,0.6327181590339485,"[array([[42,  8],
       [18,  8]])]"
pima.csv,8,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.5999999999999999,"[array([[35, 15],
       [13, 13]])]"
pima.csv,8,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",acc,0.7105263157894737,"[array([[42,  8],
       [14, 12]])]"
pima.csv,8,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",f1,0.6258272001979095,"[array([[45,  5],
       [20,  6]])]"
pima.csv,8,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",auc,0.5746153846153846,"[array([[44,  6],
       [19,  7]])]"
pima.csv,9,2,base,None,acc,0.8289473684210527,"[array([[44,  6],
       [ 7, 19]])]"
pima.csv,9,2,base,None,f1,0.8281171770427818,"[array([[44,  6],
       [ 7, 19]])]"
pima.csv,9,2,base,None,auc,0.8053846153846155,"[array([[44,  6],
       [ 7, 19]])]"
pima.csv,9,2,wagging,None,acc,0.7236842105263158,"[array([[45,  5],
       [16, 10]])]"
pima.csv,9,2,wagging,None,f1,0.7003087811816952,"[array([[45,  5],
       [16, 10]])]"
pima.csv,9,2,wagging,None,auc,0.6423076923076924,"[array([[45,  5],
       [16, 10]])]"
pima.csv,9,2,AdaBoost,None,acc,0.7894736842105263,"[array([[43,  7],
       [ 9, 17]])]"
pima.csv,9,2,AdaBoost,None,f1,0.787327141382869,"[array([[43,  7],
       [ 9, 17]])]"
pima.csv,9,2,AdaBoost,None,auc,0.7569230769230769,"[array([[43,  7],
       [ 9, 17]])]"
pima.csv,9,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 1.0]",acc,0.7236842105263158,"[array([[45,  5],
       [16, 10]])]"
pima.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",f1,0.7309379217273955,"[array([[42,  8],
       [12, 14]])]"
pima.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 3.0]",auc,0.66,"[array([[41,  9],
       [13, 13]])]"
pima.csv,9,2,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",acc,0.6842105263157895,"[array([[45,  5],
       [19,  7]])]"
pima.csv,9,2,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",f1,0.6935258500232884,"[array([[46,  4],
       [17,  9]])]"
pima.csv,9,2,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",auc,0.5553846153846154,"[array([[44,  6],
       [20,  6]])]"
pima.csv,0,3,base,None,acc,0.6103896103896104,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,3,base,None,f1,0.6067168125991655,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,3,base,None,auc,0.5637037037037037,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,3,wagging,None,acc,0.7142857142857143,"[array([[38, 12],
       [10, 17]])]"
pima.csv,0,3,wagging,None,f1,0.7164723032069972,"[array([[38, 12],
       [10, 17]])]"
pima.csv,0,3,wagging,None,auc,0.6948148148148149,"[array([[38, 12],
       [10, 17]])]"
pima.csv,0,3,AdaBoost,None,acc,0.6753246753246753,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,3,AdaBoost,None,f1,0.6705036824968293,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,3,AdaBoost,None,auc,0.6307407407407407,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,3,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",acc,0.7662337662337663,"[array([[41,  9],
       [ 9, 18]])]"
pima.csv,0,3,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",f1,0.7045401695428826,"[array([[37, 13],
       [10, 17]])]"
pima.csv,0,3,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",auc,0.6633333333333333,"[array([[33, 17],
       [ 9, 18]])]"
pima.csv,0,3,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",acc,0.7792207792207793,"[array([[39, 11],
       [ 6, 21]])]"
pima.csv,0,3,Incremental_Mixed_Bagging,"[[-3.0, 1.0]]",f1,0.7521404431548276,"[array([[41,  9],
       [10, 17]])]"
pima.csv,0,3,Incremental_Mixed_Bagging,"[[-3.0, 1.0]]",auc,0.6677777777777778,"[array([[39, 11],
       [12, 15]])]"
pima.csv,1,3,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,3,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,3,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,3,wagging,None,acc,0.7012987012987013,"[array([[40, 10],
       [13, 14]])]"
pima.csv,1,3,wagging,None,f1,0.6968633878970829,"[array([[40, 10],
       [13, 14]])]"
pima.csv,1,3,wagging,None,auc,0.6592592592592593,"[array([[40, 10],
       [13, 14]])]"
pima.csv,1,3,AdaBoost,None,acc,0.6753246753246753,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,3,AdaBoost,None,f1,0.6788480103726984,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,3,AdaBoost,None,auc,0.6562962962962962,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,3,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",acc,0.7662337662337663,"[array([[41,  9],
       [ 9, 18]])]"
pima.csv,1,3,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",f1,0.6968633878970829,"[array([[40, 10],
       [13, 14]])]"
pima.csv,1,3,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",auc,0.6762962962962963,"[array([[38, 12],
       [11, 16]])]"
pima.csv,1,3,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.7402597402597403,"[array([[39, 11],
       [ 9, 18]])]"
pima.csv,1,3,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.7801128164764528,"[array([[41,  9],
       [ 8, 19]])]"
pima.csv,1,3,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",auc,0.7148148148148149,"[array([[40, 10],
       [10, 17]])]"
pima.csv,2,3,base,None,acc,0.6363636363636364,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,3,base,None,f1,0.6239279588336192,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,3,base,None,auc,0.5751851851851851,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,3,wagging,None,acc,0.7662337662337663,"[array([[40, 10],
       [ 8, 19]])]"
pima.csv,2,3,wagging,None,f1,0.7680227935329977,"[array([[40, 10],
       [ 8, 19]])]"
pima.csv,2,3,wagging,None,auc,0.751851851851852,"[array([[40, 10],
       [ 8, 19]])]"
pima.csv,2,3,AdaBoost,None,acc,0.6883116883116883,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,3,AdaBoost,None,f1,0.6776525361431022,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,3,AdaBoost,None,auc,0.6322222222222222,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,3,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",acc,0.7012987012987013,"[array([[39, 11],
       [12, 15]])]"
pima.csv,2,3,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",f1,0.6968633878970829,"[array([[40, 10],
       [13, 14]])]"
pima.csv,2,3,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 1.0]",auc,0.7718518518518518,"[array([[42,  8],
       [ 8, 19]])]"
pima.csv,2,3,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",acc,0.7142857142857143,"[array([[41,  9],
       [13, 14]])]"
pima.csv,2,3,Incremental_Mixed_Bagging,"[[-2.0, 2.0]]",f1,0.7260499634869146,"[array([[40, 10],
       [11, 16]])]"
pima.csv,2,3,Incremental_Mixed_Bagging,"[[-2.0, 2.0]]",auc,0.6592592592592593,"[array([[40, 10],
       [13, 14]])]"
pima.csv,3,3,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,3,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,3,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,3,wagging,None,acc,0.7012987012987013,"[array([[42,  8],
       [15, 12]])]"
pima.csv,3,3,wagging,None,f1,0.688825590794173,"[array([[42,  8],
       [15, 12]])]"
pima.csv,3,3,wagging,None,auc,0.6422222222222222,"[array([[42,  8],
       [15, 12]])]"
pima.csv,3,3,AdaBoost,None,acc,0.7012987012987013,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,3,AdaBoost,None,f1,0.7045401695428826,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,3,AdaBoost,None,auc,0.6848148148148149,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,3,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",acc,0.7272727272727273,"[array([[43,  7],
       [14, 13]])]"
pima.csv,3,3,Grouped_Mixed_Bagging,"[[0.1, 0.6, 0.3], 2.0]",f1,0.6623376623376623,"[array([[37, 13],
       [13, 14]])]"
pima.csv,3,3,Grouped_Mixed_Bagging,"[[0.1, 0.6, 0.3], 2.0]",auc,0.7333333333333333,"[array([[40, 10],
       [ 9, 18]])]"
pima.csv,3,3,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.6883116883116883,"[array([[38, 12],
       [12, 15]])]"
pima.csv,3,3,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",f1,0.6999594838190019,"[array([[39, 11],
       [12, 15]])]"
pima.csv,3,3,Incremental_Mixed_Bagging,"[[0.0, 0.0]]",auc,0.6892592592592592,"[array([[43,  7],
       [13, 14]])]"
pima.csv,4,3,base,None,acc,0.6493506493506493,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,3,base,None,f1,0.6507674144037779,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,3,base,None,auc,0.6192592592592592,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,3,wagging,None,acc,0.6883116883116883,"[array([[41,  9],
       [15, 12]])]"
pima.csv,4,3,wagging,None,f1,0.6776525361431022,"[array([[41,  9],
       [15, 12]])]"
pima.csv,4,3,wagging,None,auc,0.6322222222222222,"[array([[41,  9],
       [15, 12]])]"
pima.csv,4,3,AdaBoost,None,acc,0.6103896103896104,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,3,AdaBoost,None,f1,0.6067168125991655,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,3,AdaBoost,None,auc,0.5637037037037037,"[array([[36, 14],
       [16, 11]])]"
pima.csv,4,3,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",acc,0.6753246753246753,"[array([[37, 13],
       [12, 15]])]"
pima.csv,4,3,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",f1,0.6363636363636364,"[array([[36, 14],
       [14, 13]])]"
pima.csv,4,3,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",auc,0.6962962962962963,"[array([[40, 10],
       [11, 16]])]"
pima.csv,4,3,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",acc,0.7272727272727273,"[array([[42,  8],
       [13, 14]])]"
pima.csv,4,3,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",f1,0.6818381618381618,"[array([[40, 10],
       [14, 13]])]"
pima.csv,4,3,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",auc,0.6492592592592593,"[array([[39, 11],
       [13, 14]])]"
pima.csv,5,3,base,None,acc,0.6233766233766234,"[array([[35, 15],
       [14, 13]])]"
